0,VIX,Open,High,Low,Close,Volume,Rate,Range,TR,V_coded,Gap,Rvol,ATR,YCl,AR,RR,MA50,MA100,MA200,D2,ExCl,Held_Open,Gap_std,Gap_mean,Trend_bool,RVOL_bool,Gap_bool
1994/10/18,15.99,46.90625,46.90625,46.6875,46.84375,132100,4.76,0.21875,0.265625,2,-0.09983361064891848,0.41716009031626483,0.4328125,46.953125,0.3828125,0.5714285714285714,46.6240625,46.05703125,46.137734375,0,0,1,0.37096832975652294,0.020194349694772292,0,0,0
1994/10/19,15.91,46.671875,47.234375,46.65625,47.0625,136700,4.76,0.578125,0.578125,2,-0.3669112741827885,0.44747782251464857,0.4015625,46.84375,0.359375,1.608695652173913,46.6459375,46.06890625,46.139765625,0,0,0,0.37013239523727326,0.01959420989305384,0,0,0
1994/10/20,16.97,47.0625,47.0625,46.609375,46.75,290300,4.76,0.453125,0.453125,2,0.0,0.9926483159514446,0.4015625,47.0625,0.359375,1.2608695652173914,46.658125,46.07828125,46.139765625,0,0,0,0.3710471825906337,0.017087158565852068,0,0,0
1994/10/21,16.13,46.625,46.6875,46.359375,46.5625,87800,4.76,0.328125,0.390625,2,-0.267379679144385,0.2990004937935262,0.4109375,46.75,0.36875,0.8898305084745762,46.67,46.08375,46.138828125,0,0,1,0.37095604903285123,0.016417366201485022,0,0,0
1994/10/24,15.7,46.578125,46.765625,46.15625,46.171875,149600,4.76,0.609375,0.609375,2,0.03355704697986577,0.5172801300115835,0.41328125,46.5625,0.36796875,1.6560509554140126,46.666875,46.08578125,46.13453125,0,0,0,0.37140270115513596,0.014412018607902135,0,0,0
1994/10/25,15.67,46.015625,46.3125,46.0,46.21875,91800,4.76,0.3125,0.3125,2,-0.338409475465313,0.3215017423433204,0.43046875,46.171875,0.3890625,0.8032128514056225,46.665,46.085625,46.12765625,1,0,0,0.37116981152386536,0.01357713004601002,0,0,0
1994/10/26,14.56,46.390625,46.4375,46.171875,46.390625,201000,4.76,0.265625,0.265625,2,0.37187288708586885,0.7552132256246478,0.4328125,46.21875,0.39140625,0.6786427145708582,46.66,46.08734375,46.122109375,0,1,0,0.3719038825477405,0.011220630841440928,0,0,0
1994/10/27,14.56,46.5625,46.671875,46.453125,46.671875,210300,4.76,0.21875,0.28125,2,0.370495116200741,0.8088461538461539,0.425,46.390625,0.39453125,0.5544554455445545,46.66125,46.0925,46.11875,1,1,1,0.3727353011169615,0.013408294685931337,0,0,0
1994/10/28,14.84,46.765625,47.703125,46.765625,47.65625,192100,4.76,0.9375,1.03125,2,0.2008704385671242,0.7368057686406874,0.4203125,46.671875,0.38671875,2.4242424242424243,46.6853125,46.11125,46.1209375,0,1,1,0.3735722725283357,0.014931822898513991,0,0,0
1994/10/31,15.34,47.546875,47.59375,47.46875,47.484375,36300,4.76,0.125,0.1875,2,-0.22950819672131148,0.13441208597930127,0.45859375,47.65625,0.4203125,0.29739776951672864,46.7065625,46.12578125,46.121328125,0,0,1,0.37327403239908546,0.01725630710455093,1,0,0
1994/11/1,15.58,47.28125,47.28125,46.9375,46.953125,435200,5.29,0.34375,0.546875,2,-0.42777229351760443,1.622367194780988,0.4546875,47.484375,0.41328125,0.8317580340264651,46.718125,46.13421875,46.1190625,0,0,1,0.3730110604100715,0.014454232699369258,1,1,0
1994/11/2,16.75,46.8125,47.234375,46.6875,46.6875,115600,5.29,0.546875,0.546875,2,-0.2995008319467554,0.40447865640307906,0.434375,46.953125,0.3828125,1.4285714285714286,46.7190625,46.139375,46.11515625,0,0,1,0.37431849911010606,0.012315371231781235,1,0,0
1994/11/3,17.37,46.84375,47.015625,46.78125,46.9375,87000,5.29,0.234375,0.328125,2,0.33467202141900937,0.32404044918710545,0.4421875,46.6875,0.390625,0.6,46.715,46.1434375,46.113125,0,0,1,0.3748685971109738,0.010158671290900456,1,0,0
1994/11/4,16.3,47.15625,47.15625,46.328125,46.328125,124400,5.29,0.828125,0.828125,2,0.4660452729693742,0.4867455737063484,0.44453125,46.9375,0.38828125,2.1327967806841044,46.70125,46.14328125,46.107421875,0,0,0,0.3754319053828181,0.012490359245263444,1,0,1
1994/11/7,16.42,46.4375,46.59375,46.3125,46.46875,115000,5.29,0.28125,0.28125,2,0.2360876897133221,0.45569820890790935,0.4671875,46.328125,0.4109375,0.6844106463878327,46.676875,46.14359375,46.102890625,1,0,1,0.37670711910408705,0.014160519603509654,1,0,0
1994/11/8,16.0,46.625,46.984375,46.546875,46.828125,308300,5.29,0.4375,0.515625,2,0.3362474781439139,1.2460089722345713,0.453125,46.46875,0.40625,1.0769230769230769,46.6603125,46.153125,46.10109375,1,0,1,0.37694308765837964,0.014682630204808327,1,0,0
1994/11/9,16.5,47.328125,47.328125,46.5,46.90625,318500,5.29,0.828125,0.828125,2,1.0677344010677345,1.3283286414346784,0.43828125,46.828125,0.39765625,2.0825147347740667,46.6428125,46.16734375,46.0996875,0,0,0,0.3775830537458767,0.016693682898957975,1,1,1
1994/11/10,16.68,46.9375,47.03125,46.546875,46.578125,172100,5.29,0.484375,0.484375,2,0.06662225183211193,0.6951288472412958,0.47109375,46.90625,0.43046875,1.1252268602540834,46.62125,46.1821875,46.096015625,0,0,0,0.3848150482623781,0.021701229076482077,1,0,0
1994/11/11,16.66,46.515625,46.5625,46.28125,46.40625,302200,5.29,0.28125,0.296875,2,-0.13418316001341832,1.6981344122274669,0.46328125,46.578125,0.428125,0.6569343065693432,46.599375,46.19359375,46.089296875,0,0,1,0.38482500372427253,0.022034340335642638,1,1,0
1994/11/14,15.56,46.609375,46.859375,46.609375,46.84375,181400,5.29,0.25,0.453125,2,0.4377104377104377,0.957609671118619,0.459375,46.40625,0.4234375,0.5904059040590406,46.5903125,46.21203125,46.084140625,0,1,1,0.3847782181711595,0.020372671563316628,1,0,1
1994/11/15,15.91,46.796875,47.09375,46.328125,46.6875,316900,5.29,0.765625,0.765625,2,-0.10006671114076052,1.7186864441250644,0.47421875,46.84375,0.428125,1.7883211678832118,46.5778125,46.23828125,46.076484375,0,0,1,0.3850103203525758,0.020597872966528503,1,1,0
1994/11/16,16.0,46.765625,46.84375,46.609375,46.84375,106900,5.29,0.234375,0.234375,2,0.16733601070950468,0.5520981278244028,0.49921875,46.6875,0.45546875,0.5145797598627787,46.569375,46.2584375,46.070859375,0,1,1,0.3841981243131905,0.018139314867743762,1,0,0
1994/11/17,16.13,46.875,46.875,46.34375,46.53125,104700,5.29,0.53125,0.53125,2,0.06671114076050699,0.5449293465532048,0.48203125,46.84375,0.43828125,1.2121212121212122,46.55,46.27765625,46.062109375,0,0,0,0.38419803689340515,0.01962408306127832,1,0,0
1994/11/18,17.24,46.546875,46.625,46.265625,46.46875,269300,5.29,0.359375,0.359375,2,0.0335795836131632,1.4727516338082087,0.4859375,46.53125,0.4421875,0.8127208480565371,46.539375,46.29484375,46.054140625,0,0,0,0.38359708042124985,0.018328974269966852,1,1,0
1994/11/21,18.41,46.4375,46.578125,46.0,46.0,283100,5.29,0.578125,0.578125,2,-0.06724949562878278,1.4750169332569165,0.484375,46.46875,0.44375,1.3028169014084507,46.5221875,46.31015625,46.049296875,0,0,1,0.3833010067045049,0.019467745974440433,1,1,0
1994/11/22,17.44,45.828125,46.0,45.0,45.0,483600,5.29,1.0,1.0,2,-0.3736413043478261,2.4349840134941214,0.4828125,46.0,0.4421875,2.2614840989399294,46.4821875,46.31453125,46.038359375,0,0,1,0.38334766461232717,0.01913149849629652,1,1,0
1994/11/23,16.83,45.03125,45.265625,44.609375,45.25,601600,5.29,0.65625,0.65625,2,0.06944444444444445,2.7571667545085816,0.5171875,45.0,0.4765625,1.3770491803278688,46.44625,46.3190625,46.028515625,1,1,1,0.3838247546564548,0.018593963963912014,1,1,0
1994/11/25,16.15,45.28125,45.53125,45.28125,45.46875,77300,5.29,0.25,0.28125,2,0.06906077348066297,0.3244831566796096,0.53671875,45.25,0.49609375,0.5039370078740157,46.4028125,46.32640625,46.018828125,1,0,1,0.3836287983170771,0.017947808702690526,1,0,0
1994/11/28,15.95,45.453125,45.6875,45.34375,45.671875,79900,5.29,0.34375,0.34375,2,-0.03436426116838488,0.34502860844218936,0.53671875,45.46875,0.49765625,0.6907378335949764,46.3759375,46.33390625,46.0121875,0,1,0,0.38363067159315845,0.01796220588577882,1,0,0
1994/11/29,16.69,45.65625,45.75,45.5,45.65625,105500,5.29,0.25,0.25,2,-0.034211426616489904,0.4668864647179873,0.50234375,45.671875,0.46796875,0.5342237061769616,46.3478125,46.34140625,46.0046875,0,0,0,0.38360248787447376,0.018119982470510398,1,0,0
